nohup: ignoring input
2018-12-04 15:30:04 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.019 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.005 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.158 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.006 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.010 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.021 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.180 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.020 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.027 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.030 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.029 s.
2018-12-04 15:30:18 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.122 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.005 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.006 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.156 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.166 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.008 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.013 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.007 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.145 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.006 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.006 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.001 s.
2018-12-04 15:30:19 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.006 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.071 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.015 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.008 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.128 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.127 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.005 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.008 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.001 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.014 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.147 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.008 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.013 s.
2018-12-04 15:30:20 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.133 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.008 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.005 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.097 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.006 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.002 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.004 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.012 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.003 s.
2018-12-04 15:30:21 INFO  TableWriter:35 - Wrote 0 rows to transactional.trd in 0.008 s.
